id,title,price,condition,category_id,listing_type,free_shipping
MLA1891808734,Apple iPhone 15 (128 Gb) - Azul,1690090.0,new,MLA1055,gold_pro,True
MLA2015389046,Apple iPhone 15 (256 Gb) - Azul,2299000.0,new,MLA1055,gold_pro,True
MLA2021598354,Apple iPhone 15 Pro (128 Gb) - Titanio Natural,2150000.0,new,MLA1055,gold_pro,True
MLA2021470938,Apple iPhone 15 Pro (128 Gb) - Titanio Azul - Excelente (Reacondicionado),1680000.0,new,MLA1055,gold_special,True
MLA1959561424,Apple iPhone 15 Pro Max (256 Gb) - Titanio Azul,2366510.0,new,MLA1055,gold_pro,True
MLA1422381325,Apple iPhone 15 Pro (256 Gb) - Titanio Blanco,3500000.0,new,MLA1055,gold_pro,True
MLA2021013820,Apple iPhone 15 (128 Gb) - Negro - Excelente (Reacondicionado),1425450.0,new,MLA1055,gold_special,True
MLA1933611622,Apple iPhone 1 6 (128 Gb) - Negro / Rosa - Nuevo Sellado,2109988.9,new,MLA1055,gold_special,True
MLA1400430715,Apple iPhone 15 Pro Max (256 Gb) Azul / Blanco Titanio,3111100.01,new,MLA1055,gold_special,True
MLA1683801536,Apple iPhone 15 Pro Max (512 Gb) - Titanio Azul,3200000.0,new,MLA1055,gold_pro,True
MLA1859864472,Apple iPhone 15 Plus (128 Gb) Rosa,1980000.0,new,MLA1055,gold_pro,True
MLA1475732125,Apple iPhone 15 Pro Max (1 Tb) - Titanio Negro,4339990.0,new,MLA1055,gold_pro,True
MLA1933611836,Apple iPhone 1 6 (128 Gb)  Negro / Ultramarine Nuevo Sellado,2188877.78,new,MLA1055,gold_special,True
MLA1933079110,Apple iPhone 15 128gb Nuevos En Caja Sellada,1820000.0,new,MLA1055,gold_pro,True
MLA1396035219,Apple iPhone 15 (128 Gb) - Black - Caja Sellada - Liberado,1877766.67,new,MLA1055,gold_special,True
MLA1456534607,Apple iPhone 1 6 Pro (128 Gb) Negro / Desert Caja Sellada,2444433.34,new,MLA1055,gold_special,True
MLA1417670423,Apple iPhone 1 6 Pro Max (256 Gb) Nuevo - Caja Sellada,2998877.78,new,MLA1055,gold_special,True
MLA1479542113,Apple iPhone 15 Pro Max (256 Gb) - Titanio Azul - Excelente (Reacondicionado),1800000.0,new,MLA1055,gold_special,True
MLA1477101717,Apple iPhone 15 128 Gb Pink Sim Virtual Importado Usa Nuevo,1500000.0,new,MLA1055,gold_special,True
MLA1801162576,Apple iPhone 15 128gb Original Negro,1740000.0,new,MLA1055,gold_pro,True
MLA2021497014,Apple iPhone 15 Pro (256 Gb) - Titanio Natural - Excelente (Reacondicionado),1850000.0,new,MLA1055,gold_special,True
MLA1991521454,Apple iPhone 15 Pro (128gb) - Titanio Azul,1864000.0,new,MLA1055,gold_pro,True
MLA1446761907,Apple iPhone 15 (128 Gb) - Negro - Caja Sellada + Cargador,2099999.0,new,MLA1055,gold_pro,True
MLA1437352107,Apple iPhone 15 128gb,1900000.0,new,MLA1055,gold_pro,True
MLA2019849826,Nuevo iPhone 15 Pro 1 Tb - Incluye Funda Y Templado! Azul Marino,2100000.0,new,MLA1055,gold_special,True
MLA1448474043,iPhone 15 Plus Dual Sim Oled6.7p A16bio 256gb 6gb Ios17 48mp,5285220.0,new,MLA1055,gold_special,True
MLA2002705534,Apple iPhone 15 128 Gb Verde Agua - Negro Nuevo Caja Sellada,2190000.0,new,MLA1055,gold_special,True
MLA1396020227,"Apple iPhone 15 (128 Gb) - Negro, Liberado, Caja Sellada",1998877.78,new,MLA1055,gold_special,True
MLA1474051995,Apple iPhone 15 Pro (512 Gb) - Titanio Blanco,2499999.0,new,MLA1055,gold_special,True
MLA2032709120,Apple iPhone 15 (128 Gb) - Negro/sellado Con Glass Y Funda,1350000.0,new,MLA1055,gold_special,True
MLA2032774338,Apple iPhone 15 (128 Gb) - Verde/sellado Con Glass Y Funda,1350000.0,new,MLA1055,gold_special,True
MLA1476770425,Apple iPhone 15 128 Gb Rosa Sim Virtual Importado Usa Nuevo,1800000.0,new,MLA1055,gold_pro,True
MLA1471426725,Apple iPhone 15 128gb Verde Claro,1999000.0,new,MLA1055,gold_pro,True
MLA1481872071,iPhone 15 Verde Nuevo Sellado Verde Claro,1270000.0,new,MLA1055,gold_special,True
MLA1482178361,Celular Apple iPhone 15 Black 128gb Nuevo,1540000.0,new,MLA1055,gold_pro,True
MLA1472564451,Apple iPhone 15 (256 Gb) - Azul,1790000.0,new,MLA1055,gold_special,True
MLA1464510741,iPhone 15 Pro Max 256gb Titanio Sellado - Precio Limitado,3229000.0,new,MLA1055,gold_pro,True
MLA1481712485,"Apple iPhone 15 (128 Gb) - Verde, Caja Sellada.",1650000.0,new,MLA1055,gold_pro,True
MLA1446839351,Apple iPhone 15 (128 Gb) - Negro - Caja Sellada + Cargador,1899999.0,new,MLA1055,gold_pro,True
MLA1481585061,"Apple iPhone 15 (128 Gb) - Verde, Caja Sellada.",1890000.0,new,MLA1055,gold_pro,True
MLA1464510729,iPhone 15 128gb Negro Sellado - Precio Por Tiempo Limitado,2118000.0,new,MLA1055,gold_pro,True
MLA1969422854,Apple iPhone 15 128gb 6.1 Negro - Twicettech+com,2006000.0,new,MLA1055,gold_special,True
MLA1471426759,Apple iPhone 15 128gb Verde Claro,1659000.0,new,MLA1055,gold_pro,True
MLA1994138326,Apple iPhone 15 Pro Max 256gb Titanio Natural,1900000.0,new,MLA1055,gold_special,True
MLA2032137754,"iPhone 15  128 Gb Nuevos, Caja Sellada",1400000.0,new,MLA1055,gold_pro,True
MLA2030490894,iPhone 15 256gb 6gb  Rosado,1900000.0,new,MLA1055,gold_special,True
MLA2026924378,iPhone 15 128 Gb,1150000.0,new,MLA1055,gold_special,True
MLA2032916094,"iPhone 15 Apple 128gb, 6gb Ram, Dual Sim - Caja Sellada - Verde",1600000.0,new,MLA1055,gold_special,True
MLA1932056328,Apple iPhone 15 (128 Gb),1689999.0,new,MLA1055,gold_pro,True
MLA2030723384,Xiaomi Redmi Note 13 4g Dual Sim 256 Gb Negro 8 Gb Ram,316000.0,new,MLA1055,gold_special,True
MLA1470931201,Xiaomi Redmi Note 13 Pro 4g Dual Sim 256 Gb Púrpura 8 Gb Ram,572196.0,new,MLA1055,gold_special,True
MLA1483646127,Xiaomi Redmi Note 14 Pro 5g Negro 256gb 8ram 200mpx,634799.97,new,MLA1055,gold_pro,True
MLA2022434996,Xiaomi Redmi Note 13 Pro 5g Dual Sim 256 Gb Verde Marino 8 Gb Ram,559999.0,new,MLA1055,gold_special,True
MLA2032224022,Xiaomi Redmi Note 13 256gb Mint Green 8gb Ram,300000.0,new,MLA1055,gold_special,True
MLA1483477911,"Xiaomi Redmi Note 14 4g 6,67 256gb 8gb Ram Cámara 108mpx - Color Negro",349990.0,new,MLA1055,gold_special,True
MLA2024512668,Xiaomi Redmi Note 14 Pro 4g Negro 256gb 8ram 200mpx,629999.0,new,MLA1055,gold_pro,True
MLA2029393482,Xiaomi Redmi Note 14 5g 8gb 256gb Negro Dual Sim Cámara Ia De 108 Mp,571416.0,new,MLA1055,gold_pro,True
MLA2024875456,Celular Xiaomi Redmi Note 14 Pro 256gb 8gb Ram Azul,598755.0,new,MLA1055,gold_pro,True
MLA1482177131,Xiaomi Redmi Note 13 Pro+ 5g Dual Sim 256 Gb Blanco 8 Gb Ram,542927.0,new,MLA1055,gold_special,True
MLA1477123327,Celular Xiaomi Redmi Note 14 4g 8gb Ram 256gb Amoled 6.67 Cámara 108mp Verde Lima,357000.0,new,MLA1055,gold_special,True
MLA2030218612,"Celular Xiaomi Redmi Note 14 Pro 4g 6,67 256gb 8gb Ram Cámara 200mpx - Aurora Purple",634140.0,new,MLA1055,gold_pro,True
MLA2001403160,Xiaomi Redmi Note 14 4g 128gb 6gb Ram Dual Sim Global,299999.0,new,MLA1055,gold_special,True
MLA2024437458,Xiaomi Redmi Note 14 Pro 5g Verde 256gb 8ram,789999.0,new,MLA1055,gold_pro,True
MLA2029529738,Celular Xiaomi Redmi Note 14 Pro + 5g Dual Sim 256 Gb Azul 8 Gb Ram,952773.0,new,MLA1055,gold_pro,True
MLA2031847660,Celular Xiaomi Redmi Note 14 Pro 256gb 8gb Ram Negro,450938.0,new,MLA1055,gold_special,True
MLA2032881024,Celular Xiaomi Redmi Note 14 Pro Plus 5g Negro 256gb 8ram 200mpx,989999.0,new,MLA1055,gold_pro,True
MLA1480886391,Celular Xiaomi Redmi Note 14 256gb 8gb Ram Negro,347128.0,new,MLA1055,gold_special,True
MLA1475301149,Xiaomi Redmi Note 14 Pro+5g 256gb 8ram,698900.0,new,MLA1055,gold_special,True
MLA2004024162,"Xiaomi Redmi Note 14, Verde 256/8gb Ram, 6.67  Amoled Dual",432325.0,new,MLA1055,gold_special,True
MLA2029336974,Celular Xiaomi Redmi Note 14 Pro Plus 5g Azul 256gb 8ram 200mpx,929999.0,new,MLA1055,gold_pro,True
MLA2026265564,Xiaomi Redmi Note 13 Pro 4g 256 Gb 8 Ram 200mp Nfc 120hz,699999.0,new,MLA1055,gold_special,True
MLA1474694393,Nuevo Redmi Note 14 Pro+ 512gb/12 Ram Con Cargador Y Funda,950000.0,new,MLA1055,gold_special,True
MLA1472001721,Xiaomi Redmi Note 14 Azul 256gb 8ram Dual Sim 4g,357999.0,new,MLA1055,gold_special,True
MLA1938450340,Note 13pro 8g 256gb + Auriculares Inalámbricos De Regalo!!!,626000.0,new,MLA1055,gold_special,True
MLA1482015051,Xiaomi Redmi Note 13 Pro Dual Sim 256 Gb Verde 8 Gb Ram,584158.0,new,MLA1055,gold_special,True
MLA1472555707,Celular Redmi Note 14 Pro 5g 8/256 Ds Con Funda Y Cargador,625000.0,new,MLA1055,gold_special,True
MLA1482626465,"Smartphone Xiaomi Redmi Note 14 5g 8+8gb + 256gb, Verde",659999.0,new,MLA1055,gold_pro,True
MLA2010568368,Xiaomi Redmi Note 14 4g 256gb  8gb Ram Verde Limón 2025,449999.99,new,MLA1055,gold_special,True
MLA1475558003,Xiaomi Redmi Note 14 Pro - 256gb 8gb 200mp,504900.0,new,MLA1055,gold_special,True
MLA2032866920,Teléfono Inteligente Negro Xiaomi Redmi Note 14 Pro 5g 12+12gb + 512gb,699999.0,new,MLA1055,gold_special,True
MLA2031489724,"Smartphone Xiaomi Redmi Note 14 8+8gb + 256gb, Negro",450000.0,new,MLA1055,gold_pro,True
MLA1481823131,Xiaomi Redmi Note 14 Pro Plus  8gb/256gb Negro Nuevo Sellado,920000.0,new,MLA1055,gold_pro,True
MLA1481151519,Xiaomi Redmi Note 14 Pro + 5g Dual Sim 512gb Azul 12gb Ram Azul Claro,856480.0,new,MLA1055,gold_special,True
MLA1995179356,Celular Xiaomi Redmi Note 14 Pro Plus 256gb 8gb 5g,829000.0,new,MLA1055,gold_special,True
MLA2023876316,Xioami Redmi Note 14 8gb Ram/ 265gb Rom Dual Sim 108mp.,383990.0,new,MLA1055,gold_pro,True
MLA1473933877,Celular Redmi Note 14 Pro+ 5g 8/256 Con Cargador Y Funda,775000.0,new,MLA1055,gold_special,True
MLA1474311095,Xiaomi Redmi Note 14 256gb 8gb Ram Dual Sim Negro,389999.0,new,MLA1055,gold_special,True
MLA1475714477,Xiaomi Redmi Note 14 5g 8gb De Ram 256gb Negro,599999.0,new,MLA1055,gold_pro,True
MLA1473382877,Xiaomi Redmi Note 14 8/256 Dual Sim,395990.0,new,MLA1055,gold_special,True
MLA1471984817,Xiaomi Redmi Note 14 Pro 5g 8gb Ram 256gb Negro Dual Sim,669000.0,new,MLA1055,gold_special,True
MLA2003341176,Celulares Xiaomi Redmi Note 14 Pro+ 5g Azul Petróleo,820500.0,new,MLA1055,gold_special,True
MLA1477879713,Xiaomi Redmi Note 14 256 Gb 8 Ram Camara 108mpx Dual Sim,354999.0,new,MLA1055,gold_special,True
MLA1474357757,Xiaomi Redmi Note 14 4g Dual Sim 128gb + 6gb Ram Negro,357210.0,new,MLA1055,gold_special,True
MLA1477223815,Redmi Note 14 Pro 5g 8/256gb Coral Green,610000.0,new,MLA1055,gold_special,True
MLA1468603063,Telefono Celular Xiaomi Redmi Note 13 6gb Ram 128gb Negro,533637.32,new,MLA1055,gold_special,True
MLA1482879915,Xiaomi Redmi Note 14 4g Dual Sim 128gb + 6gb Ram Negro,376261.0,new,MLA1055,gold_special,True
MLA1477074967,Redmi Note 14 Pro 5g -8 Gb Ram/ 256 Gb Rom,589000.0,new,MLA1055,gold_special,True
MLA1472310699,Xiaomi Redmi Note 13 Dual Sim 512gb 8gb Ram Mint Green,495000.0,new,MLA1055,gold_pro,True
